fetch_ts_ms,measured_at_ms,heart_rate
1776294222000,1776294222000,94
1776294227000,1776294227000,92
1776294228000,1776294228000,92
1776294230000,1776294230000,92
1776294231000,1776294231000,92
1776294233000,1776294233000,91
1776294235000,1776294235000,91
1776294236000,1776294236000,91
1776294238000,1776294238000,95
1776294239000,1776294239000,95
1776294241000,1776294241000,95
1776294242000,1776294242000,91
1776294244000,1776294244000,91
1776294245000,1776294245000,91
1776294247000,1776294247000,91
1776294248000,1776294248000,93
1776294250000,1776294250000,93
1776294251000,1776294251000,93
1776294253000,1776294253000,100
1776294254000,1776294254000,100
1776294256000,1776294256000,100
1776294257000,1776294257000,96
1776294259000,1776294259000,96
1776294260000,1776294260000,96
1776294262000,1776294262000,105
1776294263000,1776294263000,105
1776294265000,1776294265000,105
1776294266000,1776294266000,105
1776294268000,1776294268000,106
1776294269000,1776294269000,106
1776294271000,1776294271000,106
1776294272000,1776294272000,110
1776294274000,1776294274000,110
1776294276000,1776294276000,110
1776294277000,1776294277000,107
1776294279000,1776294279000,107
1776294280000,1776294280000,107
1776294282000,1776294282000,107
1776294283000,1776294283000,107
1776294285000,1776294285000,107
1776294286000,1776294286000,107
1776294288000,1776294288000,107
1776294289000,1776294289000,107
1776294291000,1776294291000,107
1776294292000,1776294292000,106
1776294294000,1776294294000,106
1776294295000,1776294295000,106
1776294297000,1776294297000,106
1776294298000,1776294298000,106
1776294300000,1776294300000,106
1776294302000,1776294302000,106
1776294303000,1776294303000,103
1776294308000,1776294308000,91
1776294310000,1776294310000,91
1776294311000,1776294311000,91
1776294313000,1776294313000,92
1776294314000,1776294314000,92
1776294316000,1776294316000,92
1776294317000,1776294317000,92
1776294319000,1776294319000,92
1776294320000,1776294320000,92
1776294322000,1776294322000,92
1776294323000,1776294323000,83
1776294325000,1776294325000,83
1776294330000,1776294330000,84
1776294332000,1776294332000,84
1776294333000,1776294333000,85
1776294335000,1776294335000,85
1776294337000,1776294337000,85
1776294338000,1776294338000,85
1776294344000,1776294344000,87
1776294345000,1776294345000,87
1776294347000,1776294347000,88
1776294348000,1776294348000,88
1776294350000,1776294350000,88
1776294351000,1776294351000,88
1776294352000,1776294352000,85
1776294354000,1776294354000,85
1776294356000,1776294356000,85
1776294357000,1776294357000,86
1776294359000,1776294359000,86
1776294360000,1776294360000,86
1776294362000,1776294362000,84
1776294364000,1776294364000,84
1776294365000,1776294365000,84
1776294367000,1776294367000,84
1776294368000,1776294368000,83
1776294370000,1776294370000,83
1776294371000,1776294371000,83
1776294373000,1776294373000,87
1776294374000,1776294374000,87
1776294376000,1776294376000,87
1776294377000,1776294377000,85
1776294379000,1776294379000,85
1776294380000,1776294380000,85
1776294382000,1776294382000,87
1776294384000,1776294384000,87
1776294385000,1776294385000,87
1776294386000,1776294386000,87
1776294388000,1776294388000,85
1776294390000,1776294390000,85
1776294391000,1776294391000,85
1776294393000,1776294393000,95
1776294394000,1776294394000,95
1776294396000,1776294396000,95
1776294397000,1776294397000,106
1776294399000,1776294399000,106
1776294400000,1776294400000,106
1776294402000,1776294402000,106
1776294403000,1776294403000,125
1776294405000,1776294405000,125
1776294406000,1776294406000,125
1776294408000,1776294408000,129
1776294409000,1776294409000,129
1776294411000,1776294411000,129
1776294412000,1776294412000,130
1776294414000,1776294414000,130
1776294415000,1776294415000,130
1776294417000,1776294417000,149
1776294418000,1776294418000,149
1776294420000,1776294420000,149
1776294421000,1776294421000,149
1776294423000,1776294423000,150
1776294424000,1776294424000,150
1776294426000,1776294426000,150
1776294427000,1776294427000,158
1776294429000,1776294429000,158
1776294430000,1776294430000,158
1776294432000,1776294432000,166
1776294433000,1776294433000,166
1776294435000,1776294435000,166
1776294436000,1776294436000,166
1776294438000,1776294438000,168
1776294439000,1776294439000,168
1776294441000,1776294441000,168
1776294443000,1776294443000,169
1776294444000,1776294444000,169
1776294446000,1776294446000,169
1776294447000,1776294447000,168
1776294449000,1776294449000,168
1776294450000,1776294450000,168
1776294452000,1776294452000,167
1776294454000,1776294454000,167
1776294455000,1776294455000,167
1776294457000,1776294457000,167
1776294458000,1776294458000,163
1776294460000,1776294460000,163
1776294461000,1776294461000,163
1776294463000,1776294463000,161
1776294464000,1776294464000,161
1776294466000,1776294466000,161
1776294467000,1776294467000,154
1776294469000,1776294469000,154
1776294470000,1776294470000,154
1776294471000,1776294471000,154
1776294473000,1776294473000,153
1776294475000,1776294475000,153
1776294476000,1776294476000,153
1776294478000,1776294478000,150
1776294479000,1776294479000,150
1776294481000,1776294481000,150
1776294482000,1776294482000,147
1776294484000,1776294484000,147
1776294485000,1776294485000,147
1776294487000,1776294487000,143
1776294488000,1776294488000,143
1776294490000,1776294490000,143
1776294491000,1776294491000,143
1776294493000,1776294493000,141
1776294494000,1776294494000,141
1776294496000,1776294496000,141
1776294497000,1776294497000,136
1776294499000,1776294499000,136
1776294500000,1776294500000,136
1776294502000,1776294502000,125
1776294507000,1776294507000,124
1776294509000,1776294509000,124
1776294510000,1776294510000,124
1776294512000,1776294512000,124
1776294513000,1776294513000,121
1776294515000,1776294515000,121
1776294518000,1776294518000,120
1776294520000,1776294520000,120
1776294521000,1776294521000,120
1776294523000,1776294523000,117
1776294524000,1776294524000,117
1776294526000,1776294526000,117
1776294527000,1776294527000,120
1776294529000,1776294529000,120
1776294530000,1776294530000,120
1776294532000,1776294532000,112
1776294533000,1776294533000,112
1776294535000,1776294535000,112
1776294536000,1776294536000,112
1776294538000,1776294538000,113
1776294539000,1776294539000,113
1776294544000,1776294544000,107
1776294546000,1776294546000,107
1776294547000,1776294547000,109
1776294549000,1776294549000,109
1776294550000,1776294550000,109
1776294552000,1776294552000,109
1776294553000,1776294553000,109
1776294555000,1776294555000,109
1776294556000,1776294556000,109
1776294558000,1776294558000,105
1776294559000,1776294559000,105
1776294564000,1776294564000,105
1776294566000,1776294566000,105
1776294567000,1776294567000,108
1776294569000,1776294569000,108
1776294570000,1776294570000,108
1776294572000,1776294572000,107
1776294573000,1776294573000,107
1776294575000,1776294575000,107
1776294576000,1776294576000,107
1776294578000,1776294578000,112
1776294579000,1776294579000,112
1776294581000,1776294581000,112
1776294583000,1776294583000,113
1776294584000,1776294584000,113
1776294585000,1776294585000,113
1776294587000,1776294587000,113
1776294588000,1776294588000,113
1776294590000,1776294590000,113
1776294595000,1776294595000,114
1776294596000,1776294596000,114
1776294598000,1776294598000,115
1776294600000,1776294600000,115
1776294601000,1776294601000,115
1776294603000,1776294603000,115
1776294604000,1776294604000,115
1776294606000,1776294606000,115
1776294607000,1776294607000,111
1776294609000,1776294609000,111
1776294610000,1776294610000,111
1776294612000,1776294612000,111
1776294613000,1776294613000,112
1776294615000,1776294615000,112
1776294616000,1776294616000,112
1776294618000,1776294618000,114
1776294619000,1776294619000,114
1776294621000,1776294621000,114
1776294622000,1776294622000,115
1776294624000,1776294624000,115
1776294625000,1776294625000,115
1776294626000,1776294626000,115
1776294628000,1776294628000,122
1776294629000,1776294629000,122
1776294631000,1776294631000,122
1776294633000,1776294633000,122
1776294634000,1776294634000,122
1776294636000,1776294636000,122
1776294637000,1776294637000,121
1776294639000,1776294639000,121
1776294640000,1776294640000,121
1776294642000,1776294642000,121
1776294643000,1776294643000,120
1776294645000,1776294645000,120
1776294646000,1776294646000,120
1776294648000,1776294648000,122
1776294649000,1776294649000,122
1776294651000,1776294651000,122
1776294652000,1776294652000,123
1776294654000,1776294654000,123
1776294655000,1776294655000,123
1776294657000,1776294657000,121
1776294658000,1776294658000,121
1776294660000,1776294660000,121
1776294661000,1776294661000,121
1776294663000,1776294663000,124
1776294664000,1776294664000,124
1776294666000,1776294666000,124
1776294667000,1776294667000,124
1776294669000,1776294669000,124
1776294671000,1776294671000,124
1776294672000,1776294672000,124
1776294674000,1776294674000,124
1776294675000,1776294675000,124
1776294677000,1776294677000,118
1776294678000,1776294678000,118
1776294680000,1776294680000,118
1776294681000,1776294681000,118
1776294683000,1776294683000,117
1776294684000,1776294684000,117
1776294686000,1776294686000,117
1776294687000,1776294687000,116
1776294689000,1776294689000,116
1776294690000,1776294690000,116
1776294695000,1776294695000,116
1776294697000,1776294697000,114
1776294699000,1776294699000,114
1776294700000,1776294700000,114
1776294702000,1776294702000,114
1776294703000,1776294703000,113
1776294704000,1776294704000,113
1776294706000,1776294706000,113
1776294707000,1776294707000,112
1776294709000,1776294709000,112
1776294710000,1776294710000,112
1776294712000,1776294712000,113
1776294713000,1776294713000,113
1776294715000,1776294715000,113
1776294717000,1776294717000,113
1776294718000,1776294718000,110
1776294720000,1776294720000,110
1776294721000,1776294721000,110
1776294723000,1776294723000,112
1776294724000,1776294724000,112
1776294726000,1776294726000,112
1776294727000,1776294727000,110
1776294729000,1776294729000,110
1776294730000,1776294730000,110
1776294732000,1776294732000,110
1776294733000,1776294733000,109
1776294735000,1776294735000,109
1776294736000,1776294736000,109
1776294738000,1776294738000,109
1776294739000,1776294739000,109
1776294741000,1776294741000,109
1776294742000,1776294742000,108
1776294744000,1776294744000,108
1776294745000,1776294745000,108
1776294747000,1776294747000,108
1776294748000,1776294748000,108
1776294750000,1776294750000,108
1776294752000,1776294752000,108
1776294753000,1776294753000,108
1776294755000,1776294755000,108
1776294756000,1776294756000,108
1776294758000,1776294758000,107
1776294759000,1776294759000,107
1776294761000,1776294761000,107
1776294762000,1776294762000,98
1776294764000,1776294764000,98
1776294765000,1776294765000,98
1776294767000,1776294767000,98
1776294768000,1776294768000,96
1776294770000,1776294770000,96
1776294771000,1776294771000,96
1776294773000,1776294773000,97
1776294775000,1776294775000,97
1776294776000,1776294776000,97
1776294778000,1776294778000,102
1776294779000,1776294779000,102
1776294781000,1776294781000,102
1776294782000,1776294782000,104
1776294783000,1776294783000,104
1776294785000,1776294785000,104
1776294787000,1776294787000,102
1776294788000,1776294788000,102
1776294790000,1776294790000,102
1776294791000,1776294791000,102
1776294793000,1776294793000,98
1776294794000,1776294794000,98
1776294796000,1776294796000,98
1776294797000,1776294797000,101
1776294799000,1776294799000,101
1776294800000,1776294800000,101
1776294802000,1776294802000,97
1776294803000,1776294803000,97
1776294805000,1776294805000,97
1776294807000,1776294807000,97
1776294808000,1776294808000,97
1776294810000,1776294810000,97
1776294811000,1776294811000,97
